input_name,normalized_name,medical_store_id
".KRISHANA MEDICINES, RAJKOT, RAJKOT",krishana medicines rajkot rajkot,987cdb20-112e-4d0a-b119-eafcb034113f
"4EVER MEDICAL (CT), SHAPAR, SHAPAR",4ever medical ct shapar shapar,434a8695-38fa-4a23-bba3-caa5750ebfdc
"A ONE MEDICAL STORE, jasdan, JASAD",a one medical store jasdan jasad,207b8f2c-cc92-430f-afcb-62a3b8858044
AARAV MEDICINE,aarav medicine,9ae4d776-131d-4bfa-80b6-c11406f6bc01
"AARAV MEDICINE - AYODHYACHOK, RAJKOT, RAJKOT",aarav medicine ayodhyachok rajkot rajkot,b1fdb31f-3c4e-4825-95e5-1962a1b0193e
"AARAV MEDICINE 8, RAJKOT, RAJKOT",aarav medicine 8 rajkot rajkot,4720c9df-cec8-4607-ac7d-8088ad985a93
"AARAV MEDICINE, RAJKOT, RAJKOT",aarav medicine rajkot rajkot,4720c9df-cec8-4607-ac7d-8088ad985a93
"AASHNA M.S. gauridal pedak, RAJKOT, RAJKOT",aashna m s gauridal pedak rajkot rajkot,45819330-fb1b-4f3b-b1f6-406dd52f793c
"AASHNA MED STORE, GAURIDAD, GAURIDAD",aashna med store gauridad gauridad,469babc1-cb5b-4e8b-947b-4e4ad7a33290
"AASHTHA MEDICINES mavadi, RAJKOT, RAJKOT",aashtha medicines mavadi rajkot rajkot,b881d49a-23ed-4b94-9d24-add8d1a54474
"AASTHA MED STORE [CT] MAVDI, RAJKOT, RAJKOT",aastha med store ct mavdi rajkot rajkot,66385c32-a280-4c9f-8ea2-3a9ad653a429
"AASTHA MEDICAL STORE AMBICA TOWNSHIP 1, RAJKOT, RA",aastha medical store ambica township 1 rajkot ra,b85ebd62-6753-4196-87af-36208c94455c
"AAYU MEDICAL STORE, ANANDPAR, ANANDPAR",aayu medical store anandpar anandpar,1eedf2ce-39a4-4632-bbe0-22c7bbbd0e72
"AAYUSH MEDI.STORE KOTHARIYA, RAJKOT, RAJKOT",aayush medi store kothariya rajkot rajkot,77ccc5e7-a790-40b4-a384-441e73bf7e65
"AAYUSH PHARMACY 1, RAJKOT, RAJKOT",aayush pharmacy 1 rajkot rajkot,efb3019c-4777-465f-aa26-122fc69afabe
"AAYUSH PHARMACY [DT] MAVDI., RAJKOT, RAJKOT",aayush pharmacy dt mavdi rajkot rajkot,163bc792-43b0-420f-aed5-a8f639fefa43
"AAYUSH PHARMACY(MAVADI), RAJKOT, RAJKOT",aayush pharmacy mavadi rajkot rajkot,4037a10a-f0f9-4d7a-9f51-8d59ab8af069
"ABC MED CENTER [DT] AST, RAJKOT, RAJKOT",abc med center dt ast rajkot rajkot,97c4c4a0-f5c6-49b3-9a38-f583b9736de2
ABC MEDICAL CENTRE SARDARNAGAR,abc medical centre sardarnagar,6fcac0d2-c44a-42be-a8fa-966beff613f5
"ABC MEDICAL CENTRE astron, RAJKOT, RAJKOT",abc medical centre astron rajkot rajkot,eb71e210-5847-4f0c-b04c-367f3b45741f
"ABC MEDICAL STORE(CT) KUVADAVA, RAJKOT, RAJKOT",abc medical store ct kuvadava rajkot rajkot,4b391b84-2a28-49f3-a3f8-508a2456aa34
ABC MEDICAL STORES KVD RD,abc medical stores kvd rd,5fd4367d-e18d-4a1d-ac20-01149cbb25ad
ABC MEDICAL STORES KVD RD.884,abc medical stores kvd rd 884,5fd4367d-e18d-4a1d-ac20-01149cbb25ad
AJAY MEDICINES (BHAKTI NAGAR),ajay medicines bhakti nagar,eef6d00a-98d2-4bda-977a-e3f45a643261
"AJAY MEDICINES [CT] BNC, RAJKOT, RAJKOT",ajay medicines ct bnc rajkot rajkot,4f3379f0-9c7e-4357-8d7f-088007722748
"AJAY MEDICINSE BHAKTINAGAR, RAJKOT, RAJKOT",ajay medicinse bhaktinagar rajkot rajkot,6774bb0b-1baf-48ff-9c14-772164bfeb20
"AKSHAR M CENTRE [DT] V.N., RAJKOT, RAJKOT",akshar m centre dt v n rajkot rajkot,c747d6a3-9caa-413d-a2fd-cb69b40905ba
"AKSHAR MEDICINE MAVADI 1, RAJKOT, RAJKOT",akshar medicine mavadi 1 rajkot rajkot,0f915093-dd7a-4009-bb05-686a7f73babd
"AKSHAR MEDICINES [DT] AST, RAJKOT, RAJKOT",akshar medicines dt ast rajkot rajkot,608d2c5a-e900-45a9-8161-fdc8f41f2d2f
"AKSHAY MEDICAL STORE [CT] KOTHARIYA ROAD, RAJKOT, ",akshay medical store ct kothariya road rajkot,e197cba1-5edf-4617-8f85-7e321b7d00dd
"AKSHAY MEDICAL STORE, RAJKOT, RAJKOT",akshay medical store rajkot rajkot,00506d0b-9b2a-4844-ba9c-37d73a7dfc6a
"ALL GENERIC MEDICAL & AGENCY, RAJKOT, RAJKOT",all generic medical agency rajkot rajkot,c0be512e-221a-41cd-ab00-9ef2261a68bb
"ALL GENRIC MED. N. AGENCY-GAYTRINAGAR, RAJKOT, RAJ",all genric med n agency gaytrinagar rajkot raj,257e7988-fc55-49b3-abd5-44b6e6ef2397
AMBICA MEDICAL AGENCY,ambica medical agency,f628c9d2-d87b-4447-ae18-ee3609ea62c7
"AMBICA MEDICAL STORES, JASDAN, JASDAN",ambica medical stores jasdan jasdan,19026587-d23f-4834-9727-b0ceb52ee895
"AMBIKA MED.STORE mavadi, RAJKOT, RAJKOT",ambika med store mavadi rajkot rajkot,ae05e0c9-dd43-4632-a711-eb89b73572b4
"AMBIKA MEDICAL AGENCY VIDYANAGAR, RAJKOT, RAJKOT",ambika medical agency vidyanagar rajkot rajkot,47d124f2-acfb-4699-8b03-9cda511da493
